race,age,education,marital_status,work_class,occupation,hours_per_week,gender,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
Amer-Indian-Eskimo,29,Masters,Never-married,Private,Exec-managerial,32,Male,Mexico,239556,8499,8556,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,42,Assoc-voc,Married-civ-spouse,State-gov,Handlers-cleaners,46,Male,Outlying-US(Guam-USVI-etc),142281,5874,9122,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,25,Bachelors,Married-civ-spouse,Without-pay,Machine-op-inspct,27,Female,Canada,236811,4272,5879,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,60,Assoc-voc,Never-married,Private,Craft-repair,33,Female,Canada,224110,7399,8101,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,18,Bachelors,Married-civ-spouse,Private,Handlers-cleaners,32,Female,Mexico,305474,51,4578,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,51,HS-grad,Never-married,Private,Exec-managerial,54,Female,Mexico,374157,1806,5601,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,27,Some-college,Widowed,Self-emp-not-inc,Handlers-cleaners,25,Male,Outlying-US(Guam-USVI-etc),288712,255,3255,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,48,Bachelors,Married-civ-spouse,Private,Exec-managerial,33,Male,Mexico,100187,4362,1279,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,47,Assoc-voc,Divorced,Without-pay,Other-service,29,Female,Mexico,227125,6110,9707,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,23,Some-college,Never-married,Private,Prof-specialty,22,Female,Canada,231531,5057,9645,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,23,HS-grad,Never-married,Without-pay,Craft-repair,29,Female,Mexico,348918,9350,5205,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,25,11th,Married-civ-spouse,Private,Handlers-cleaners,21,Male,Outlying-US(Guam-USVI-etc),129287,2498,4127,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,70,Bachelors,Never-married,Never-worked,Sales,47,Male,United-States,420666,4971,4596,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,50,Some-college,Never-married,State-gov,Exec-managerial,44,Male,Mexico,134959,4862,9746,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,34,HS-grad,Never-married,Private,Other-service,34,Male,Mexico,153372,9807,5239,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,28,Some-college,Never-married,Private,Prof-specialty,56,Male,United-States,73520,1827,1085,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,39,Some-college,Married-civ-spouse,Private,Tech-support,28,Male,United-States,368176,689,7227,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,32,Some-college,Divorced,Self-emp-not-inc,Craft-repair,37,Male,Canada,192099,9820,2718,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,24,11th,Never-married,Private,Handlers-cleaners,29,Male,Outlying-US(Guam-USVI-etc),120052,2111,3481,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,41,Masters,Divorced,Private,Exec-managerial,29,Male,Outlying-US(Guam-USVI-etc),76427,3332,1153,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,49,Some-college,Married-civ-spouse,Private,Handlers-cleaners,40,Male,Mexico,360945,2466,8200,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,32,Bachelors,Married-civ-spouse,Local-gov,Other-service,21,Male,Mexico,459198,47,1800,<=50K,Adults,NorthAmerica
Amer-Indian-Eskimo,50,Masters,Never-married,Private,Other-service,23,Male,Mexico,96888,4642,3195,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,23,Some-college,Never-married,Private,Tech-support,56,Female,Mexico,336099,2814,6807,>50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,52,Doctorate,Widowed,Private,Other-service,25,Female,United-States,258077,2695,1000,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,52,Bachelors,Married-civ-spouse,Private,Craft-repair,42,Female,Canada,165000,2898,3772,>50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,30,Some-college,Never-married,Private,Exec-managerial,45,Male,Canada,393540,2848,8886,>50K,Adults,NorthAmerica
Amer-Indian-Eskimo,25,Some-college,Divorced,Private,Machine-op-inspct,60,Male,Outlying-US(Guam-USVI-etc),323773,6767,4085,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,66,Masters,Married-civ-spouse,Private,Handlers-cleaners,44,Male,Outlying-US(Guam-USVI-etc),45172,2575,8881,>50K,Senior,NorthAmerica
Amer-Indian-Eskimo,20,HS-grad,Never-married,Self-emp-not-inc,Handlers-cleaners,33,Female,Mexico,126879,6637,3497,<=50K,YoungAdults,NorthAmerica
Amer-Indian-Eskimo,61,11th,Divorced,Private,Sales,58,Female,United-States,19571,9614,5843,<=50K,MiddleAged,NorthAmerica
Amer-Indian-Eskimo,66,Bachelors,Married-civ-spouse,Without-pay,Handlers-cleaners,41,Male,Mexico,440949,4184,2102,<=50K,Senior,NorthAmerica
Amer-Indian-Eskimo,69,Some-college,Married-civ-spouse,Private,Other-service,48,Male,Outlying-US(Guam-USVI-etc),433948,9087,718,>50K,Senior,NorthAmerica
