gender,education,race,continent,agegroup,hours_per_week,work_class,fnlwgt,marital_status,occupation,capital_gain,capital_loss,native_country,income,age
Female,Doctorate,White,Europe,Senior,49,Federal-gov,144808,Never-married,Craft-repair,2610,1693,United-States,<=50K,32
Female,Doctorate,White,Central America,MiddleAged,21,Self-emp-not-inc,345185,Separated,Exec-managerial,7268,3002,Mexico,<=50K,29
Female,Doctorate,White,Europe,Adults,59,Federal-gov,299408,Separated,Craft-repair,9297,6703,Japan,<=50K,34
Female,Doctorate,Other,Europe,Senior,57,Private,54657,Never-married,Tech-support,1394,8090,Mexico,<=50K,32
Female,Doctorate,White,Europe,Senior,20,Federal-gov,231420,Divorced,Tech-support,3349,8098,Japan,<=50K,26
Female,Doctorate,Black,Other,Adults,37,Local-gov,193609,Never-married,Craft-repair,2936,8971,Germany,<=50K,29
Female,Doctorate,Amer-Indian-Eskimo,Central America,Senior,24,State-gov,206989,Widowed,Craft-repair,3059,149,Japan,<=50K,37
Female,Doctorate,Other,Other,YoungAdults,42,State-gov,72875,Widowed,Exec-managerial,5781,2543,Germany,<=50K,38
Female,Doctorate,Asian-Pac-Islander,South America,MiddleAged,56,Federal-gov,339137,Widowed,Other-service,4712,2142,Mexico,<=50K,33
Female,Doctorate,Asian-Pac-Islander,South America,YoungAdults,60,Local-gov,132558,Married-civ-spouse,Other-service,1778,1964,Canada,<=50K,39
Female,Doctorate,Asian-Pac-Islander,Asia,MiddleAged,38,State-gov,211023,Separated,Craft-repair,7846,1916,Canada,<=50K,30
Female,Doctorate,Black,Asia,YoungAdults,43,Federal-gov,390214,Widowed,Craft-repair,7344,9266,Germany,<=50K,34
Female,Doctorate,Asian-Pac-Islander,South America,Senior,56,State-gov,136141,Never-married,Sales,2798,5190,Mexico,<=50K,27
Female,Doctorate,Other,Other,Adults,35,Local-gov,240538,Married-civ-spouse,Other-service,4061,3108,Mexico,<=50K,35
Female,Doctorate,Black,North America,Senior,48,State-gov,244885,Widowed,Craft-repair,6010,2901,Canada,<=50K,27
Female,Doctorate,Amer-Indian-Eskimo,North America,Senior,29,Federal-gov,66954,Never-married,Tech-support,1435,2880,Canada,<=50K,38
Female,Doctorate,Amer-Indian-Eskimo,Other,MiddleAged,32,Federal-gov,89586,Widowed,Exec-managerial,7942,547,Canada,<=50K,28
Female,Doctorate,Asian-Pac-Islander,South America,Senior,30,Local-gov,406841,Married-civ-spouse,Sales,2127,9036,Japan,<=50K,31
Female,Doctorate,Black,Central America,MiddleAged,20,Private,349582,Widowed,Sales,8382,4328,United-States,<=50K,28
Female,Doctorate,Asian-Pac-Islander,Central America,YoungAdults,32,Self-emp-not-inc,27507,Separated,Tech-support,8289,1359,Germany,<=50K,30
Female,Doctorate,Asian-Pac-Islander,Asia,Adults,56,State-gov,378878,Widowed,Exec-managerial,4226,4530,United-States,<=50K,29
Female,Doctorate,Amer-Indian-Eskimo,Other,Senior,52,Local-gov,187262,Separated,Craft-repair,47,1327,India,<=50K,37
Female,Doctorate,Black,Central America,Adults,57,State-gov,107080,Divorced,Tech-support,2444,9008,Germany,<=50K,26
Female,Doctorate,White,South America,Adults,45,Private,486919,Widowed,Exec-managerial,4211,7518,Japan,<=50K,33
Female,Doctorate,Asian-Pac-Islander,Asia,Senior,52,Local-gov,497900,Widowed,Tech-support,1510,4,Canada,<=50K,37
Female,Doctorate,Asian-Pac-Islander,Other,MiddleAged,32,State-gov,245290,Married-civ-spouse,Exec-managerial,7249,284,Japan,<=50K,37
Female,Doctorate,Asian-Pac-Islander,Other,MiddleAged,34,State-gov,89332,Widowed,Exec-managerial,4294,4955,Japan,<=50K,33
Female,Doctorate,Black,South America,Senior,30,State-gov,288043,Divorced,Exec-managerial,9886,9617,United-States,<=50K,40
Female,Doctorate,Other,Asia,MiddleAged,48,Private,33956,Never-married,Craft-repair,4210,4070,United-States,<=50K,35
Female,Doctorate,Other,Asia,YoungAdults,42,Federal-gov,408452,Never-married,Exec-managerial,6038,7682,United-States,<=50K,31
Female,Doctorate,Amer-Indian-Eskimo,Asia,YoungAdults,60,Local-gov,158343,Never-married,Exec-managerial,9821,1227,Japan,<=50K,27
Female,Doctorate,Other,Europe,Senior,26,Self-emp-not-inc,473850,Never-married,Sales,1123,5247,India,<=50K,37
Female,Doctorate,White,South America,Senior,54,State-gov,166959,Widowed,Exec-managerial,1402,9968,Japan,<=50K,31
Female,Doctorate,Amer-Indian-Eskimo,Other,MiddleAged,47,State-gov,470702,Separated,Sales,2432,4022,United-States,<=50K,40
Female,Doctorate,Other,Central America,Senior,41,Federal-gov,438926,Divorced,Tech-support,2010,4085,United-States,<=50K,36
Female,Doctorate,Asian-Pac-Islander,North America,YoungAdults,38,Self-emp-not-inc,34352,Separated,Other-service,8610,9911,Mexico,<=50K,36
Female,Doctorate,Black,Europe,YoungAdults,57,Self-emp-not-inc,308609,Married-civ-spouse,Sales,2273,2119,United-States,<=50K,32
Female,Doctorate,Amer-Indian-Eskimo,North America,MiddleAged,42,Self-emp-not-inc,480437,Divorced,Sales,4923,5160,Canada,<=50K,27
Female,Doctorate,Other,Europe,MiddleAged,26,Private,480694,Married-civ-spouse,Tech-support,5906,950,Canada,<=50K,38
Female,Doctorate,Asian-Pac-Islander,North America,MiddleAged,30,Self-emp-not-inc,11383,Divorced,Exec-managerial,4511,4281,Canada,<=50K,28
Female,Doctorate,Black,North America,YoungAdults,36,Local-gov,123960,Divorced,Sales,7837,1723,Japan,<=50K,40
Female,Doctorate,Asian-Pac-Islander,Central America,Senior,54,Private,106329,Widowed,Exec-managerial,4292,8707,India,<=50K,35
Female,Doctorate,White,Asia,Adults,44,State-gov,466695,Married-civ-spouse,Craft-repair,3790,2227,United-States,<=50K,36
Female,Doctorate,Amer-Indian-Eskimo,Central America,YoungAdults,54,Private,221375,Widowed,Sales,3911,8390,Canada,<=50K,32
Female,Doctorate,Amer-Indian-Eskimo,South America,YoungAdults,44,Self-emp-not-inc,439210,Widowed,Tech-support,1865,9865,United-States,<=50K,30
Female,Doctorate,Other,South America,Senior,47,State-gov,189096,Never-married,Tech-support,5404,482,Japan,<=50K,30
Female,Doctorate,White,Other,Adults,31,State-gov,51641,Divorced,Tech-support,7017,7666,Japan,<=50K,30
Female,Doctorate,White,South America,YoungAdults,33,Self-emp-not-inc,165230,Separated,Exec-managerial,842,695,United-States,<=50K,34
Female,Doctorate,Amer-Indian-Eskimo,Asia,Adults,59,Local-gov,185354,Never-married,Craft-repair,298,4884,Germany,<=50K,31
Female,Doctorate,Amer-Indian-Eskimo,North America,Adults,28,Self-emp-not-inc,472419,Married-civ-spouse,Craft-repair,658,2526,Canada,<=50K,29
Female,Doctorate,Other,Central America,MiddleAged,35,Self-emp-not-inc,426226,Widowed,Tech-support,2239,5680,Mexico,<=50K,35
Female,Doctorate,Other,South America,Senior,53,Federal-gov,452703,Married-civ-spouse,Craft-repair,8426,7376,Germany,<=50K,39
Female,Doctorate,Asian-Pac-Islander,Other,Senior,24,Local-gov,388269,Married-civ-spouse,Craft-repair,7330,3363,Canada,<=50K,30
Female,Doctorate,Other,Other,MiddleAged,55,Federal-gov,195272,Married-civ-spouse,Other-service,4458,2195,United-States,<=50K,32
Female,Doctorate,Black,Asia,YoungAdults,60,Local-gov,158077,Divorced,Tech-support,7477,4989,India,<=50K,35
Female,Doctorate,Asian-Pac-Islander,Europe,YoungAdults,35,Private,432787,Separated,Exec-managerial,1648,2399,India,<=50K,30
Female,Doctorate,Other,Other,MiddleAged,35,State-gov,214538,Divorced,Sales,6679,2675,India,<=50K,38
Female,Doctorate,Other,South America,Adults,47,Self-emp-not-inc,45006,Divorced,Craft-repair,4415,4788,Mexico,<=50K,36
Female,Doctorate,Black,North America,MiddleAged,31,Private,68771,Separated,Craft-repair,5352,9207,India,<=50K,31
Female,Doctorate,White,Europe,Adults,45,Federal-gov,97594,Widowed,Other-service,9250,9577,United-States,<=50K,34
Female,Doctorate,Amer-Indian-Eskimo,Central America,YoungAdults,55,Local-gov,86878,Divorced,Exec-managerial,539,3959,Japan,<=50K,35
Female,Doctorate,Amer-Indian-Eskimo,South America,Senior,35,Self-emp-not-inc,280298,Widowed,Exec-managerial,3412,7870,India,<=50K,29
