race,gender,age,education,marital_status,work_class,occupation,hours_per_week,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
White,Male,33,11th,Never-married,Private,Handlers-cleaners,22,South,333970,3589,1154,>50K,Adults,Asia
Amer-Indian-Eskimo,Male,38,Masters,Married-civ-spouse,Local-gov,Other-service,39,South,128751,4626,4097,>50K,Adults,Asia
White,Female,54,HS-grad,Married-civ-spouse,Federal-gov,Machine-op-inspct,47,China,339921,8699,939,<=50K,MiddleAged,Asia
White,Male,41,11th,Married-civ-spouse,Private,Exec-managerial,27,Japan,470315,2723,921,>50K,Adults,Asia
White,Female,26,HS-grad,Never-married,Private,Other-service,24,China,155167,1899,4619,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Male,68,HS-grad,Married-civ-spouse,Private,Craft-repair,40,South,253739,8442,7322,>50K,Senior,Asia
White,Male,31,Doctorate,Married-civ-spouse,Never-worked,Prof-specialty,60,China,165551,4387,3208,>50K,Adults,Asia
White,Female,35,HS-grad,Married-civ-spouse,Private,Prof-specialty,40,China,382403,6379,4094,<=50K,Adults,Asia
Other,Female,33,11th,Never-married,Private,Exec-managerial,55,Philippines,45875,7325,5121,<=50K,Adults,Asia
Asian-Pac-Islander,Male,52,HS-grad,Married-civ-spouse,Private,Sales,21,South,317670,7389,1374,>50K,MiddleAged,Asia
Amer-Indian-Eskimo,Male,68,11th,Married-civ-spouse,Private,Other-service,46,Philippines,420824,4390,997,>50K,Senior,Asia
White,Female,19,11th,Widowed,Private,Prof-specialty,42,Philippines,55552,6415,1034,<=50K,YoungAdults,Asia
White,Female,63,Some-college,Never-married,Private,Other-service,22,Japan,52017,8212,1901,<=50K,MiddleAged,Asia
White,Female,29,Some-college,Married-civ-spouse,Private,Sales,29,Philippines,262335,5293,8624,<=50K,YoungAdults,Asia
White,Male,23,HS-grad,Divorced,Private,Sales,45,Vietnam,428035,7365,9475,>50K,YoungAdults,Asia
Amer-Indian-Eskimo,Male,28,Assoc-acdm,Separated,Never-worked,Tech-support,46,Vietnam,118500,913,8101,>50K,YoungAdults,Asia
White,Female,25,HS-grad,Separated,Private,Exec-managerial,52,Philippines,124453,4957,8922,<=50K,YoungAdults,Asia
White,Male,65,Bachelors,Never-married,State-gov,Exec-managerial,32,Japan,188503,506,1284,>50K,Senior,Asia
Asian-Pac-Islander,Male,57,Some-college,Never-married,Self-emp-not-inc,Other-service,20,South,135147,7958,7966,>50K,MiddleAged,Asia
White,Male,33,Assoc-acdm,Never-married,Private,Craft-repair,30,Vietnam,20270,4545,3141,>50K,Adults,Asia
White,Male,54,Some-college,Never-married,Local-gov,Tech-support,60,Japan,136525,5321,9017,>50K,MiddleAged,Asia
White,Male,29,HS-grad,Married-civ-spouse,Self-emp-not-inc,Tech-support,37,South,492182,3486,9077,>50K,YoungAdults,Asia
White,Male,64,Doctorate,Never-married,Private,Craft-repair,55,Vietnam,59226,5359,7398,>50K,MiddleAged,Asia
White,Female,44,11th,Married-civ-spouse,Never-worked,Craft-repair,23,China,232984,5252,1680,<=50K,Adults,Asia
White,Male,26,HS-grad,Separated,Private,Exec-managerial,21,Philippines,469491,7778,7917,>50K,YoungAdults,Asia
White,Male,66,HS-grad,Never-married,Private,Sales,22,India,319426,5129,6617,>50K,Senior,Asia
Asian-Pac-Islander,Female,32,Assoc-acdm,Never-married,Never-worked,Prof-specialty,23,South,307709,6374,5781,<=50K,Adults,Asia
White,Male,51,Bachelors,Married-civ-spouse,State-gov,Handlers-cleaners,49,Philippines,491547,8753,8370,>50K,MiddleAged,Asia
White,Male,54,Bachelors,Never-married,Private,Other-service,28,Japan,90421,1471,561,>50K,MiddleAged,Asia
White,Male,20,Assoc-voc,Never-married,Without-pay,Tech-support,45,Vietnam,399782,7537,7221,>50K,YoungAdults,Asia
Black,Male,20,HS-grad,Married-civ-spouse,State-gov,Machine-op-inspct,22,South,99383,3149,9715,>50K,YoungAdults,Asia
Asian-Pac-Islander,Male,69,Some-college,Never-married,Private,Handlers-cleaners,27,China,151076,1901,1080,>50K,Senior,Asia
White,Male,46,HS-grad,Never-married,Self-emp-not-inc,Handlers-cleaners,34,Vietnam,262323,2715,4409,>50K,Adults,Asia
Asian-Pac-Islander,Female,62,Bachelors,Married-civ-spouse,Private,Prof-specialty,51,Vietnam,195828,6422,5028,<=50K,MiddleAged,Asia
Black,Female,53,Some-college,Married-civ-spouse,Self-emp-not-inc,Other-service,45,Vietnam,84651,6531,1834,<=50K,MiddleAged,Asia
White,Female,69,Some-college,Married-civ-spouse,State-gov,Other-service,60,India,395386,862,8447,<=50K,Senior,Asia
White,Female,70,Assoc-acdm,Married-civ-spouse,Private,Other-service,30,Philippines,152834,6393,796,<=50K,Senior,Asia
White,Male,65,Some-college,Never-married,Self-emp-not-inc,Exec-managerial,37,South,65026,7372,6063,>50K,Senior,Asia
Amer-Indian-Eskimo,Female,46,Some-college,Married-civ-spouse,Private,Tech-support,35,China,339319,1500,5823,<=50K,Adults,Asia
Black,Male,43,HS-grad,Never-married,Private,Tech-support,50,South,13542,7492,8772,>50K,Adults,Asia
Black,Female,58,Some-college,Married-civ-spouse,Private,Machine-op-inspct,43,Philippines,352090,6964,8749,<=50K,MiddleAged,Asia
Black,Female,53,Assoc-acdm,Married-civ-spouse,Private,Prof-specialty,27,India,403568,1865,8068,<=50K,MiddleAged,Asia
White,Male,32,HS-grad,Never-married,Federal-gov,Exec-managerial,49,Vietnam,93932,504,9001,>50K,Adults,Asia
White,Male,24,Some-college,Divorced,Self-emp-not-inc,Exec-managerial,57,South,167359,3402,5093,>50K,YoungAdults,Asia
White,Female,43,HS-grad,Never-married,Private,Machine-op-inspct,41,Vietnam,51338,6780,4595,<=50K,Adults,Asia
Black,Male,62,Bachelors,Widowed,Private,Machine-op-inspct,25,Vietnam,182580,2703,958,>50K,MiddleAged,Asia
Amer-Indian-Eskimo,Female,33,Bachelors,Married-civ-spouse,Private,Sales,42,China,302069,6299,5515,<=50K,Adults,Asia
Other,Female,48,Masters,Never-married,Private,Tech-support,51,Vietnam,266257,7394,3747,<=50K,Adults,Asia
White,Male,58,HS-grad,Married-civ-spouse,State-gov,Prof-specialty,23,India,469220,7645,2762,>50K,MiddleAged,Asia
White,Male,28,HS-grad,Married-civ-spouse,Private,Sales,24,Japan,458550,793,1100,>50K,YoungAdults,Asia
White,Female,36,Some-college,Never-married,Self-emp-not-inc,Machine-op-inspct,42,China,208015,1102,1329,<=50K,Adults,Asia
White,Male,20,Bachelors,Married-civ-spouse,Private,Exec-managerial,37,India,76938,8367,4046,>50K,YoungAdults,Asia
White,Female,54,Some-college,Married-civ-spouse,Private,Other-service,55,Japan,247404,7495,225,<=50K,MiddleAged,Asia
White,Male,44,Masters,Married-civ-spouse,Private,Other-service,60,India,171592,7311,2654,>50K,Adults,Asia
Black,Male,30,HS-grad,Married-civ-spouse,Private,Craft-repair,52,China,323811,8974,9744,>50K,Adults,Asia
White,Female,62,HS-grad,Married-civ-spouse,Private,Other-service,54,China,282663,2668,5832,<=50K,MiddleAged,Asia
White,Female,59,Doctorate,Never-married,Self-emp-not-inc,Tech-support,59,South,447559,2980,66,<=50K,MiddleAged,Asia
Black,Female,64,Bachelors,Never-married,Private,Handlers-cleaners,34,Philippines,146076,3450,8281,<=50K,MiddleAged,Asia
White,Female,63,Some-college,Married-civ-spouse,Private,Prof-specialty,53,Japan,69604,4558,1940,<=50K,MiddleAged,Asia
White,Male,66,Bachelors,Married-civ-spouse,Private,Craft-repair,34,India,220243,7788,4998,>50K,Senior,Asia
Asian-Pac-Islander,Female,22,Bachelors,Married-civ-spouse,Private,Handlers-cleaners,38,South,184916,998,1865,<=50K,YoungAdults,Asia
Black,Female,34,Some-college,Married-civ-spouse,Private,Other-service,33,China,47256,4715,8717,<=50K,Adults,Asia
White,Female,67,Some-college,Married-civ-spouse,Federal-gov,Exec-managerial,30,Japan,360292,3318,760,<=50K,Senior,Asia
White,Female,20,HS-grad,Married-civ-spouse,Private,Tech-support,25,Philippines,338455,159,2535,<=50K,YoungAdults,Asia
Other,Female,18,HS-grad,Widowed,Private,Craft-repair,57,Vietnam,341292,951,378,<=50K,YoungAdults,Asia
White,Male,36,HS-grad,Married-civ-spouse,Private,Other-service,24,Vietnam,126690,7861,3360,>50K,Adults,Asia
White,Female,64,Masters,Never-married,Private,Handlers-cleaners,20,Japan,371212,4779,6772,<=50K,MiddleAged,Asia
White,Female,43,HS-grad,Married-civ-spouse,State-gov,Exec-managerial,56,China,255278,9633,1320,<=50K,Adults,Asia
Black,Female,30,Masters,Married-civ-spouse,Private,Prof-specialty,30,China,271024,8033,9981,<=50K,Adults,Asia
White,Male,32,HS-grad,Never-married,Local-gov,Craft-repair,27,Philippines,155850,2719,4276,>50K,Adults,Asia
White,Male,45,Masters,Never-married,Private,Tech-support,50,Vietnam,59562,8263,3358,>50K,Adults,Asia
White,Female,20,Some-college,Married-civ-spouse,Private,Exec-managerial,50,India,477280,6450,114,<=50K,YoungAdults,Asia
Amer-Indian-Eskimo,Female,58,Masters,Never-married,Self-emp-not-inc,Other-service,21,Japan,52720,5472,8178,<=50K,MiddleAged,Asia
Asian-Pac-Islander,Female,29,HS-grad,Widowed,Federal-gov,Other-service,24,Vietnam,306492,6671,4075,<=50K,YoungAdults,Asia
White,Female,59,11th,Never-married,Private,Craft-repair,53,South,358399,7663,4092,<=50K,MiddleAged,Asia
Black,Female,28,Some-college,Never-married,Private,Sales,35,China,461863,4921,6791,<=50K,YoungAdults,Asia
Black,Male,45,Assoc-acdm,Married-civ-spouse,Private,Prof-specialty,21,Philippines,265150,686,9494,>50K,Adults,Asia
Asian-Pac-Islander,Male,54,HS-grad,Separated,Private,Sales,37,Japan,477832,2955,5733,>50K,MiddleAged,Asia
White,Male,28,HS-grad,Never-married,Private,Sales,52,Vietnam,317012,6926,5069,>50K,YoungAdults,Asia
Black,Female,41,HS-grad,Never-married,Self-emp-not-inc,Other-service,44,China,159436,1555,4411,<=50K,Adults,Asia
White,Female,66,Some-college,Separated,Never-worked,Machine-op-inspct,21,China,102726,854,1974,<=50K,Senior,Asia
White,Male,55,HS-grad,Never-married,Private,Tech-support,31,China,71474,3700,8912,>50K,MiddleAged,Asia
Amer-Indian-Eskimo,Female,48,HS-grad,Married-civ-spouse,Private,Handlers-cleaners,38,Vietnam,18024,5632,3989,<=50K,Adults,Asia
White,Female,41,11th,Married-civ-spouse,Private,Prof-specialty,33,India,31291,3555,5997,<=50K,Adults,Asia
White,Male,38,Assoc-acdm,Never-married,Private,Other-service,33,China,344169,5207,3255,>50K,Adults,Asia
White,Male,62,Some-college,Divorced,Never-worked,Exec-managerial,34,Japan,116719,9733,6920,>50K,MiddleAged,Asia
White,Female,22,Bachelors,Widowed,Private,Other-service,55,Vietnam,277068,7329,3714,<=50K,YoungAdults,Asia
White,Male,66,Bachelors,Never-married,Private,Exec-managerial,26,Japan,398225,631,7157,>50K,Senior,Asia
Black,Female,53,HS-grad,Divorced,Private,Sales,20,Philippines,484981,760,8292,<=50K,MiddleAged,Asia
Black,Male,25,Masters,Divorced,Private,Exec-managerial,44,China,412373,4075,1721,>50K,YoungAdults,Asia
Black,Male,43,Bachelors,Separated,Private,Exec-managerial,31,China,497453,6393,1951,>50K,Adults,Asia
Black,Female,54,Masters,Married-civ-spouse,Private,Machine-op-inspct,22,Japan,83055,1092,672,<=50K,MiddleAged,Asia
White,Male,67,Bachelors,Divorced,Private,Tech-support,51,China,13694,9729,8531,>50K,Senior,Asia
White,Male,54,Some-college,Married-civ-spouse,Never-worked,Prof-specialty,26,South,470800,6947,8232,>50K,MiddleAged,Asia
White,Male,40,Masters,Married-civ-spouse,Private,Craft-repair,33,South,206381,8926,8919,>50K,Adults,Asia
Black,Female,40,11th,Married-civ-spouse,Self-emp-not-inc,Exec-managerial,24,Philippines,481855,143,3619,<=50K,Adults,Asia
White,Male,18,11th,Married-civ-spouse,Self-emp-not-inc,Tech-support,29,Vietnam,497913,620,4452,>50K,YoungAdults,Asia
White,Female,46,11th,Married-civ-spouse,Private,Sales,53,Philippines,124584,4085,7209,<=50K,Adults,Asia
White,Male,59,11th,Never-married,Private,Prof-specialty,34,South,344403,345,9213,>50K,MiddleAged,Asia
White,Female,28,Bachelors,Never-married,Private,Other-service,32,Vietnam,468043,533,1768,<=50K,YoungAdults,Asia
Asian-Pac-Islander,Male,50,HS-grad,Never-married,Private,Machine-op-inspct,25,Japan,259036,4293,8446,>50K,MiddleAged,Asia
Other,Male,35,11th,Never-married,Private,Prof-specialty,33,South,485531,6972,9914,>50K,Adults,Asia
White,Male,19,HS-grad,Married-civ-spouse,Private,Exec-managerial,50,Vietnam,458850,5613,7155,>50K,YoungAdults,Asia
Asian-Pac-Islander,Male,56,HS-grad,Married-civ-spouse,Private,Sales,47,Vietnam,272041,7231,780,>50K,MiddleAged,Asia
White,Female,39,Some-college,Married-civ-spouse,Private,Machine-op-inspct,38,Vietnam,188320,9021,7994,<=50K,Adults,Asia
