race,gender,age,education,marital_status,work_class,occupation,hours_per_week,native_country,fnlwgt,capital_gain,capital_loss,income,agegroup,continent
Other,Female,46,11th,Married-civ-spouse,Private,Exec-managerial,32,South,209967,6289,2535,<=50K,Adults,Asia
Other,Female,52,11th,Married-civ-spouse,Private,Exec-managerial,28,Japan,240120,6148,7312,<=50K,MiddleAged,Asia
Other,Female,48,Assoc-acdm,Never-married,Private,Other-service,36,Japan,114052,7613,303,<=50K,Adults,Asia
Other,Female,70,HS-grad,Married-civ-spouse,Private,Exec-managerial,36,Philippines,430692,1309,4898,<=50K,Senior,Asia
Other,Female,35,11th,Married-civ-spouse,Private,Handlers-cleaners,55,China,268496,2775,9053,<=50K,Adults,Asia
Other,Female,37,Doctorate,Married-civ-spouse,Private,Prof-specialty,21,Japan,118903,2230,2065,<=50K,Adults,Asia
Other,Female,23,HS-grad,Married-civ-spouse,Private,Sales,22,South,98131,3325,5254,<=50K,YoungAdults,Asia
Other,Female,33,HS-grad,Never-married,Private,Sales,49,South,456567,9967,7019,<=50K,Adults,Asia
Other,Female,34,HS-grad,Married-civ-spouse,Private,Craft-repair,37,Philippines,460554,6165,6326,<=50K,Adults,Asia
Other,Female,57,HS-grad,Never-married,Private,Handlers-cleaners,47,Philippines,71231,2011,5964,<=50K,MiddleAged,Asia
Other,Female,21,HS-grad,Never-married,Private,Prof-specialty,41,South,460035,4158,3994,<=50K,YoungAdults,Asia
Other,Female,24,Some-college,Never-married,Private,Other-service,45,Philippines,19198,5423,4570,<=50K,YoungAdults,Asia
Other,Female,58,11th,Separated,Private,Exec-managerial,53,India,347858,4047,8979,<=50K,MiddleAged,Asia
Other,Female,19,Assoc-acdm,Married-civ-spouse,Local-gov,Exec-managerial,60,India,450120,3259,2683,<=50K,YoungAdults,Asia
Other,Female,24,Assoc-acdm,Married-civ-spouse,Private,Tech-support,42,Vietnam,394210,9182,2901,<=50K,YoungAdults,Asia
Other,Female,48,HS-grad,Married-civ-spouse,Private,Other-service,53,India,70729,4942,8062,<=50K,Adults,Asia
Other,Female,40,Some-college,Never-married,Private,Machine-op-inspct,35,India,308562,4071,3579,<=50K,Adults,Asia
Other,Female,46,Masters,Married-civ-spouse,Never-worked,Exec-managerial,22,South,51470,1651,5675,<=50K,Adults,Asia
Other,Female,62,Some-college,Married-civ-spouse,Private,Machine-op-inspct,57,India,111973,8188,395,<=50K,MiddleAged,Asia
Other,Female,32,11th,Never-married,Local-gov,Prof-specialty,53,Philippines,126840,8396,2104,<=50K,Adults,Asia
Other,Female,40,Masters,Married-civ-spouse,Private,Other-service,47,South,217328,2520,3082,<=50K,Adults,Asia
Other,Female,31,Some-college,Never-married,Private,Exec-managerial,52,China,77536,4946,5735,<=50K,Adults,Asia
Other,Female,50,Bachelors,Never-married,Self-emp-not-inc,Other-service,60,Japan,186056,8970,9498,<=50K,MiddleAged,Asia
Other,Female,27,HS-grad,Married-civ-spouse,Private,Exec-managerial,58,Philippines,141632,1457,1045,<=50K,YoungAdults,Asia
Other,Female,64,HS-grad,Never-married,Private,Exec-managerial,45,Philippines,321486,280,5822,<=50K,MiddleAged,Asia
Other,Female,45,HS-grad,Never-married,Self-emp-not-inc,Exec-managerial,51,South,183582,2163,8523,<=50K,Adults,Asia
Other,Female,49,11th,Divorced,Private,Handlers-cleaners,39,Philippines,163780,1599,867,<=50K,Adults,Asia
Other,Female,21,Some-college,Never-married,Self-emp-not-inc,Prof-specialty,49,Philippines,239620,8888,3821,<=50K,YoungAdults,Asia
Other,Female,44,HS-grad,Married-civ-spouse,Private,Sales,46,China,483000,4940,6139,<=50K,Adults,Asia
Other,Female,33,HS-grad,Never-married,Without-pay,Exec-managerial,24,India,15864,5772,9295,<=50K,Adults,Asia
Other,Female,30,Some-college,Never-married,Federal-gov,Handlers-cleaners,51,South,27266,7494,9583,<=50K,Adults,Asia
Other,Female,34,HS-grad,Married-civ-spouse,Local-gov,Other-service,58,China,466515,6257,7246,<=50K,Adults,Asia
Other,Female,41,HS-grad,Divorced,Private,Prof-specialty,47,Philippines,164984,4721,3400,<=50K,Adults,Asia
Other,Female,50,HS-grad,Married-civ-spouse,Private,Craft-repair,36,China,242409,5798,7872,<=50K,MiddleAged,Asia
Other,Female,58,11th,Divorced,Private,Craft-repair,48,Japan,81684,2886,565,<=50K,MiddleAged,Asia
Other,Female,28,Some-college,Married-civ-spouse,Private,Handlers-cleaners,28,Philippines,166981,6427,6955,<=50K,YoungAdults,Asia
Other,Female,43,Masters,Divorced,Private,Prof-specialty,43,India,391775,1025,7681,<=50K,Adults,Asia
Other,Female,18,Assoc-acdm,Married-civ-spouse,Private,Other-service,56,India,37676,5704,3661,<=50K,YoungAdults,Asia
Other,Female,31,Some-college,Never-married,Local-gov,Exec-managerial,54,Vietnam,334485,9868,9618,<=50K,Adults,Asia
Other,Female,36,HS-grad,Divorced,Private,Exec-managerial,33,China,228562,4715,4273,<=50K,Adults,Asia
Other,Female,34,Masters,Married-civ-spouse,State-gov,Handlers-cleaners,31,Vietnam,459789,2898,3323,<=50K,Adults,Asia
Other,Female,47,Masters,Divorced,Federal-gov,Handlers-cleaners,35,Philippines,168237,3714,4521,<=50K,Adults,Asia
Other,Female,23,11th,Married-civ-spouse,Private,Exec-managerial,34,South,50224,2519,7058,<=50K,YoungAdults,Asia
Other,Female,20,Some-college,Married-civ-spouse,Never-worked,Prof-specialty,58,South,433024,3198,4914,<=50K,YoungAdults,Asia
Other,Female,68,Masters,Married-civ-spouse,Private,Other-service,49,Philippines,429267,5622,9554,<=50K,Senior,Asia
Other,Female,53,Some-college,Married-civ-spouse,Private,Exec-managerial,33,China,169511,4420,899,<=50K,MiddleAged,Asia
Other,Female,61,11th,Never-married,Private,Craft-repair,22,South,269841,9395,6921,<=50K,MiddleAged,Asia
Other,Female,19,Assoc-acdm,Married-civ-spouse,Never-worked,Handlers-cleaners,29,India,359752,4612,9460,<=50K,YoungAdults,Asia
Other,Female,39,Assoc-voc,Married-civ-spouse,Private,Craft-repair,40,Japan,126944,1048,8525,<=50K,Adults,Asia
Other,Female,19,HS-grad,Married-civ-spouse,Private,Tech-support,50,Japan,83161,4306,935,<=50K,YoungAdults,Asia
Other,Female,36,Some-college,Divorced,Private,Craft-repair,25,China,389268,7557,3624,<=50K,Adults,Asia
Other,Female,42,HS-grad,Never-married,Without-pay,Craft-repair,39,China,65327,6534,3571,<=50K,Adults,Asia
Other,Female,30,Doctorate,Never-married,State-gov,Other-service,53,India,375296,9331,3357,<=50K,Adults,Asia
Other,Female,55,HS-grad,Divorced,State-gov,Handlers-cleaners,34,Philippines,308408,7605,8653,<=50K,MiddleAged,Asia
Other,Female,36,11th,Married-civ-spouse,Federal-gov,Craft-repair,59,India,490885,2342,7820,<=50K,Adults,Asia
Other,Female,53,Some-college,Never-married,Private,Tech-support,28,Philippines,111969,1109,8728,<=50K,MiddleAged,Asia
Other,Female,36,HS-grad,Widowed,Private,Prof-specialty,36,Vietnam,218481,7054,9196,<=50K,Adults,Asia
Other,Female,58,11th,Never-married,State-gov,Craft-repair,47,India,242063,2254,366,<=50K,MiddleAged,Asia
Other,Female,54,HS-grad,Married-civ-spouse,Private,Tech-support,21,China,12681,4245,5925,<=50K,MiddleAged,Asia
Other,Female,57,Some-college,Never-married,Private,Other-service,24,South,395931,2537,4029,<=50K,MiddleAged,Asia
